p_jan_19,p_feb_19,p_mar_19,p_apr_19,p_may_19,p_jun_19,p_jan_20,p_feb_20,p_mar_20,p_apr_20,p_may_20,p_jun_20,a_jan_19,a_feb_19,a_mar_19,a_apr_19,a_may_19,a_jun_19,a_jan_20,a_feb_20,a_mar_20,a_apr_20,a_may_20,a_jun_20
1472.67,1273.61143,1546.28,1386.75286,936.89143,789.89,1544.12104,1380.22293,1467.42173,1258.64212,1033.31607,981.14372,79.75333,92.77543,64.66971,90.892,105.87014,96.55871,84.03687?,101.02978?,93.41678?,115.03044?,118.12445?,97.09091?
1425.515,1287.03714,1621.08286,1456.63,943.49143,789.12,1528.37397,1381.87645,1495.00429,1260.88051,1041.31658,976.32117,88.77275,96.49114,55.26671,94.08529,101.80971,96.55871,94.94436?,103.50116?,88.95075?,111.61795?,119.09994?,95.91477?
1397.222,1334.17,1695.88571,1461.60857,953.69429,797.37286,1503.13102,1392.01145,1521.95985,1256.59521,1057.30334,983.29724,71.0182,97.227,55.26671,94.412,104.22857,97.53057,96.50191?,104.62645?,90.31737?,114.54106?,121.21784?,98.78671?
1372.18,1375.45143,1729.94571,1446.25429,978.48714,774.86857,1475.26004,1399.80569,1538.51362,1226.01985,1074.58428,978.43301,81.94117,83.50643,53.51114,100.86843,105.42686,103.77229,105.23146?,104.18139?,90.93976?,116.75716?,119.84474?,97.46886?
1327.39286,1414.70714,1740.26,1424.48143,1003.28,785.08857,1440.60722,1398.44158,1587.99502,1208.58459,1070.24388,962.98342,84.838,70.30129,61.141,103.58471,105.42686,99.94829,102.03022?,102.48777?,92.41278?,116.23637?,123.39252?,97.42615?
1315.32429,1428.31857,1770.81857,1409.27571,1040.20857,790.89714,1426.50321,1500.30133,1600.27763,1198.96852,1069.33648,962.33204,98.96143,56.14086,62.07357,104.56186,110.17843,98.75443,112.59431?,110.42936?,96.56692?,117.94311?,126.14387?,95.13923?
1197.59714,1385.01714,1780.64714,1394.07,1070.61714,797.68143,1354.33194,1486.06569,1595.83543,1183.10219,1077.38314,977.17617,93.94886,39.75171,65.66214,104.56186,106.16314,94.44486,105.19781?,109.90607?,99.08253?,113.85419?,120.25190?,92.97576?
1137.54571,1387.65143,1789.95429,1357.70143,1097.51714,852.54,1293.50112,1469.25959,1584.89008,1157.05903,1078.9388,1017.07179,93.05429,30.04914,76.56443,104.932,103.23743,86.568,103.92018?,104.91257?,99.61932?,109.69598?,117.57847?,85.14787?
1106.55143,1388.39571,1739.48143,1275.96286,1134.15,907.39857,1250.87071,1471.51294,1532.38898,1121.36255,1089.56804,1018.6251,86.37329,25.612,84.02814,104.771,101.45571,86.568,100.30594?,98.51917?,103.75926?,111.96622?,121.80559?,84.50894?
1075.55714,1355.43286,1689.00857,1240.06429,1151.67571,934.24286,1224.40617,1474.20568,1482.25084,1101.47694,1086.86941,1029.30176,86.37329,24.87614,84.02814,110.07214,104.27214,86.74086,99.57396?,91.91112?,105.76820?,111.91313?,119.04028?,86.09287?
1058.60286,1343.17571,1714.80571,1192.05571,1160.70429,980.07571,1187.7566,1480.26349,1450.88503,1074.30112,1075.08301,1091.16347,84.194,41.94586,85.43114,106.748,103.70286,78.506,96.09909?,93.94083?,104.61407?,110.41701?,122.31433?,86.73530?
1081.97571,1342.67143,1757.57714,1158.85,1169.73286,998.68714,1189.10207,1495.63094,1430.15901,1069.44393,1087.63936,1077.40002,81.284,53.78129,75.03571,109.01929,103.70286,79.71686,99.80026?,94.55756?,103.17094?,113.44179?,122.88382?,86.32299?
1101.54571,1329.78571,1779.71857,1109.1,1179.47,1007.81714,1200.2499,1496.87254,1402.25911,1068.16002,1098.81782,1091.49773,84.59143,66.31243,73.86729,114.60729,102.23957,79.525,106.21588?,91.47595?,98.24093?,117.56571?,123.63673?,85.09063?
1114.28,1353.54286,1804.54,1059.35,1188.94143,1036.45714,1231.12388,1516.75682,1406.10469,1057.47362,1063.86107,1106.76326,86.32357,80.09271,72.70271,114.60729,101.80714,81.24443,110.73306?,96.63891?,96.82855?,116.47459?,123.52976?,84.50647?
1116.27286,1350.52429,1827.26571,1039.83143,1182.44,984.57714,1245.84515,1539.93876,1414.03222,1062.31158,1050.26648,1095.87837,87.77329,81.06614,74.27514,107.96686,98.67986,87.47014,117.93406?,96.93711?,97.18060?,117.39490?,122.81722?,86.84401?
1112.27857,1371.53143,1853.55,1030.9,1151.68571,932.69714,1279.92017,1555.18738,1432.5273,1063.02148,1028.03377,1103.88329,88.08686,85.01114,81.34343,116.30986,98.49129,87.47014,122.26321?,98.94678?,100.25612?,121.69898?,115.02526?,88.96084?
1108.28429,1392.53857,1879.83429,1011.23571,1131.34714,932.70286,1285.57727,1568.9133,1445.56337,1058.58109,1004.73985,1102.64888,88.08686,85.01114,81.34343,111.236,95.302,83.85343,124.27106?,107.54896?,102.99411?,121.44604?,113.05876?,88.96507?
1099.58714,1413.98571,1845.62429,995.96571,1086.73571,901.28,1289.19056,1589.2418,1450.79497,1058.85883,982.21704,1084.13809,88.973,88.78257,83.30643,118.70557,97.10829,91.28671,125.20511?,103.83687?,101.13440?,120.01036?,110.40635?,87.66286?
1092.13571,1424.77286,1801.66143,980.66857,1042.12429,894.65286,1289.3159,1546.05694,1414.29492,1053.66273,954.20051,1070.20934,89.34943,96.09486,87.20743,116.84257,97.10829,88.20214,125.76409?,100.37284?,102.55162?,120.40053?,105.94948?,86.48990?
1079.79857,1449.05857,1749.78429,980.53857,1001.46143,954.04571,1291.98222,1559.81168,1394.62419,1051.44153,929.83005,1069.52189,83.65171,93.96643,89.49257,111.14571,94.01057,84.014,120.77460?,91.55193?,104.47593?,120.38997?,105.74452?,87.68505?
1079.31143,1494.19571,1707.62286,980.40857,965.10286,993.87857,1298.5118,1556.19594,1379.22638,1042.1275,913.91597,1068.8838,81.76414,91.761,88.49857,111.14571,93.634,83.16657,116.49516?,88.53001?,106.93729?,123.12537?,108.26426?,93.07885?
1094.07857,1517.31714,1653.76714,947.35714,940.87714,1035.09714,1299.12552,1542.59742,1366.69143,1029.47786,918.49622,1088.5925,81.54471,93.00357,92.21414,118.229,93.90343,85.76914,114.76392?,90.59306?,108.56092?,125.04988?,106.23632?,91.19002?
1112.32571,1528.20143,1588.72286,908.78429,915.67429,1076.31571,1318.48256,1530.68964,1322.48444,1014.10663,926.22163,1108.18286,84.68086,88.50971,86.51929,109.37,98.226,85.76914,111.00533?,91.27833?,104.98808?,119.87754?,104.35389?,86.58005?
1130.57286,1539.08571,1523.67857,883.44143,887.63857,1123.5,1260.44406,1520.22531,1304.66092,1005.4213,943.39276,1130.22122,84.68086,88.50971,86.51929,109.26114,98.85771,84.20229,101.68739?,89.00404?,103.47580?,119.93169?,105.26533?,85.42833?
1150.63143,1527.7,1496.93857,875.00143,878.21143,1180.28143,1276.5173,1496.26324,1289.93694,997.98617,966.2777,1125.57222,80.18657,86.64029,86.20429,108.58071,100.54,77.61371,94.81705?,91.54329?,106.15688?,120.42679?,103.99560?,86.52217?
1158.04286,1529.83714,1428.24429,871.66571,868.78429,1248.94714,1299.37987,1488.91658,1270.25123,986.93745,986.64117,1165.77778,81.32257,79.49357,89.90486,105.38471,100.54,76.67629,94.47745?,91.78472?,106.08496?,119.65120?,105.44556?,85.14323?
1195.48,1522.87429,1398.51143,877.92286,842.36143,1274.03286,1329.96332,1501.77023,1271.67788,987.16832,993.61459,1203.51474,82.89471,80.595,91.42371,104.32929,102.95971,78.529,102.41057?,95.37813?,105.14364?,115.75502?,104.68766?,83.21473?
1244.77,1528.57571,1385.71571,884.18,835.85857,,1352.33518,1461.96653,1277.95969,1001.72253,1008.96607,,86.373,78.86443,91.02843,104.32929,100.85443,78.38386,103.53849?,97.52571?,104.96769?,115.77123?,100.46426?,77.94566?
,,1377.93857,889.56,808.64286,,,,1273.65997,1008.18926,1012.97566,,,,88.83614,98.91429,103.36729,78.36724,,,103.43052?,112.14903?,95.69781?,82.30164?
,,1379.72286,918.18857,797.09857,,,,1272.31755,1023.27625,1014.1501,,,,89.86514,99.34557,99.61629,81.22564,,,103.56869?,115.86094?,94.68311?,85.99048?
,,1381.50714,,790.66,,,,1264.3598,,994.18178,,,,89.86514,,98.80057,,,,109.50223?,,93.00998?,
